netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.4.2-1
networkmanager 1.4.2-1
nfs-utils 1.3.4-1
nfsidmap 0.26-1
nilfs-utils 2.2.5-1
nixnote 1.6-1
nm-connection-editor 1.4.2-1
nmap 7.31-1
nodejs 7.2.1-1
noto-fonts 20161003-1
npm 4.0.5-1
npth 1.2-1
nspr 4.13.1-1
nss 3.27.1-1
ntfs-3g 2016.2.22-1
ntp 4.2.8.p9-1
nxproxy 3.5.0.32-2
ocl-icd 2.2.9-1
openconnect 1:7.07-1
opencore-amr 0.1.3-2
opencv 3.1.0-3
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-1
openresolv 3.8.1-1
openssh 7.3p1-2
openssl 1.0.2.j-1
openvpn 2.3.12-1
opera 41.0.2353.46-1
opus 1.1.3-2
orbit2 2.14.19-3
orc 0.4.26-1
os-prober 1.71-1
osmo 0.2.14-3
otf-ipafont 003.03-4
p11-kit 0.23.2-1
p4v 2015.1.1233444-1
p7zip 16.02-2
package-query 1.8-2
pacman 5.0.1-4
pacman-mirrorlist 20161013-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pango-perl 1.227-2
pangox-compat 0.0.2-2
partclone 0.2.89-1
parted 3.2-4
partimage 0.6.9-9
patch 2.7.5-1
pbzip2 1.1.13-1
pciutils 3.5.1-1
pcmciautils 018-7
pcre 8.39-1
pcre2 10.22-1
pcsclite 1.8.16-1
perl 5.24.0-2
perl-b-hooks-endofscope 0.21-1
perl-bit-vector 7.4-3
perl-canary-stability 2012-1
perl-carp-clan 6.06-1
perl-class-accessor 0.34-4
perl-class-data-inheritable 0.08-6
perl-class-load 0.23-1
perl-class-load-xs 0.09-4
perl-common-sense 3.74-1
perl-cpan-meta-check 0.014-1
perl-data-dump 1.23-1
perl-data-optlist 0.110-1
perl-data-random 0.12-1
perl-date-calc 6.4-1
perl-devel-globaldestruction 0.14-1
perl-devel-overloadinfo 0.004-1
perl-devel-stacktrace 2.02-1
perl-digest-hmac 1.03-3
perl-digest-sha1 2.13-7
perl-dist-checkconflicts 0.11-1
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-eval-closure 0.14-1
perl-exporter-tiny 0.042-1
perl-file-basedir 0.07-1
perl-file-copy-recursive 0.38-1
perl-file-find-rule 0.34-1
perl-file-find-rule-perl 1.13-1
perl-file-listing 6.04-2
perl-file-slurp-tiny 0.004-1
perl-file-which 1.21-1
perl-gd 2.56-5
perl-gnome2-wnck 0.16-11
perl-goo-canvas 0.06-7
perl-gtk2-imageview 0.05-7
perl-gtk2-unique 0.05-13
perl-html-form 6.03-2
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-http-response-encoding 0.06-3
perl-http-server-simple 0.51-1
perl-image-exiftool 10.20-1
perl-inc-latest 0.500-1
perl-io-html 1.001-1
perl-io-socket-ssl 2.038-1
perl-ipc-system-simple 1.25-1
perl-json 2.90-1
perl-json-xs 3.02-3
perl-libwww 6.15-1
perl-list-moreutils 0.416-1
perl-locale-gettext 1.07-2
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-2
perl-module-build 0.4220-1
perl-module-implementation 0.09-1
perl-module-runtime 0.014-3
perl-module-runtime-conflicts 0.003-1
perl-mouse 2.4.5-3
perl-mro-compat 0.12-2
perl-namespace-autoclean 0.28-1
perl-namespace-clean 0.27-1
perl-net-dbus 1.1.0-3
perl-net-dropbox-api 1.9-3
perl-net-http 6.09-1
perl-net-oauth 0.28-4
perl-net-ssleay 1.78-1
perl-number-compare 0.03-4
perl-package-deprecationmanager 0.17-1
perl-package-stash 0.37-2
perl-package-stash-xs 0.28-4
perl-params-util 1.07-5
perl-path-class 0.37-1
perl-proc-processtable 0.53-2
perl-proc-simple 1.32-1
perl-role-tiny 2.000005-1
perl-sgmls 1:1.1-1
perl-sort-naturally 1.03-1
perl-sub-exporter 0.987-1
perl-sub-exporter-progressive 0.001013-1
perl-sub-identify 0.12-2
perl-sub-install 0.928-1
perl-sub-name 0.21-1
perl-sub-uplevel 0.25-1
perl-term-readkey 2.37-1
perl-term-readline-gnu 1.34-1
perl-test-cleannamespaces 0.16-1
perl-test-deep 1.123-1
perl-test-fatal 0.014-1
perl-test-nowarnings 1.04-2
perl-test-requires 0.10-1
perl-test-tester 0.109-1
perl-test-warn 0.30-1
perl-test-warnings 0.026-1
perl-text-glob 0.10-1
perl-text-iconv 1.7-11
perl-tree-dag-node 1.29-1
perl-try-tiny 0.28-1
perl-types-serialiser 1.0-1
perl-uri 1.71-1
perl-variable-magic 0.60-1
perl-www-mechanize 1.75-1
perl-www-robotrules 6.02-2
perl-x11-protocol 0.56-6
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-4
